Date,Open,High,Low,Close,Volume,signal
2021-02-11,264.2099914550781,266.510009765625,262.8900146484375,265.0199890136719,572000,[]
2021-02-12,264.2099914550781,265.0199890136719,261.29998779296875,263.94000244140625,564400,[]
2021-02-16,264.6499938964844,265.94000244140625,256.8299865722656,259.5,960700,[]
2021-02-17,259.3399963378906,263.0,257.3500061035156,259.5599975585937,772700,[]
2021-02-18,258.8900146484375,262.9200134277344,258.29998779296875,262.79998779296875,609400,[]
2021-02-19,264.7200012207031,264.7200012207031,261.3699951171875,261.7699890136719,873300,[]
2021-02-22,260.7699890136719,264.25,256.45001220703125,259.70001220703125,861800,[]
2021-02-23,256.4200134277344,258.2099914550781,247.1699981689453,248.7899932861328,1395600,[]
2021-02-24,247.44000244140625,251.0,243.3600006103516,250.509994506836,1345300,[]
2021-02-25,250.3699951171875,257.79998779296875,249.67999267578125,256.5199890136719,1350500,[]
2021-02-26,257.57000732421875,259.9200134277344,254.6600036621093,255.1300048828125,1676800,[]
2021-03-01,258.1000061035156,260.3099975585937,247.5200042724609,247.94000244140625,795600,[]
2021-03-02,248.72999572753903,249.0,242.8800048828125,246.3300018310547,924600,[]
2021-03-03,244.97999572753903,244.97999572753903,235.47999572753903,239.1600036621093,1062400,[]
2021-03-04,239.759994506836,242.25,235.2400054931641,235.9199981689453,1376900,[]
2021-03-05,237.1000061035156,244.009994506836,232.8800048828125,242.19000244140625,1214700,[]
2021-03-08,246.6600036621093,249.42999267578125,239.32000732421875,242.82000732421875,1061100,[]
2021-03-09,244.0500030517578,250.97000122070312,244.0500030517578,247.97000122070312,763600,[]
2021-03-10,248.33999633789065,251.3699951171875,245.2100067138672,249.83999633789065,541000,[]
2021-03-11,251.52999877929688,261.5299987792969,250.5200042724609,258.6300048828125,1081000,[]
2021-03-12,258.739990234375,262.9599914550781,256.82000732421875,261.0199890136719,956000,[]
2021-03-15,260.32000732421875,266.4700012207031,259.4599914550781,265.4800109863281,664300,[]
2021-03-16,268.010009765625,271.6400146484375,265.0,269.92999267578125,706800,[]
2021-03-17,270.67999267578125,271.5,264.6300048828125,267.7200012207031,698600,[]
2021-03-18,265.1499938964844,268.04998779296875,261.2099914550781,267.6700134277344,707900,['hammer']
2021-03-19,268.0400085449219,271.3399963378906,265.75,266.07000732421875,1261100,[]
2021-03-22,264.739990234375,275.0799865722656,264.739990234375,274.1000061035156,649700,['engulfing_bull']
2021-03-23,274.0199890136719,279.4100036621094,273.3099975585937,274.1400146484375,764300,[]
2021-03-24,272.9599914550781,274.4100036621094,267.0400085449219,272.4599914550781,816200,['hammer']
2021-03-25,272.95001220703125,273.510009765625,268.9100036621094,272.3599853515625,472000,[]
2021-03-26,274.7200012207031,282.7699890136719,273.04998779296875,282.57000732421875,521600,[]
2021-03-29,281.0199890136719,283.3900146484375,278.4700012207031,281.3999938964844,598800,[]
2021-03-30,278.8399963378906,279.6499938964844,273.79998779296875,276.239990234375,453900,[]
2021-03-31,272.3299865722656,279.25,272.1400146484375,277.54998779296875,734000,[]
2021-04-01,281.6000061035156,281.6000061035156,276.3500061035156,281.17999267578125,798900,[]
2021-04-05,281.0,285.510009765625,280.25,285.1099853515625,469500,['engulfing_bull']
2021-04-06,284.010009765625,285.7699890136719,281.17999267578125,285.4599914550781,466200,[]
2021-04-07,286.1600036621094,287.17999267578125,283.1499938964844,284.19000244140625,382600,[]
2021-04-08,283.8900146484375,287.0199890136719,279.2300109863281,279.6400146484375,638000,[]
2021-04-09,281.2699890136719,281.5899963378906,274.6000061035156,275.69000244140625,815800,[]
2021-04-12,277.5,280.989990234375,274.92999267578125,280.489990234375,777700,[]
2021-04-13,282.2300109863281,285.8399963378906,280.3299865722656,282.1300048828125,627400,[]
2021-04-14,282.0,285.0799865722656,280.29998779296875,281.0299987792969,378800,['inverted_hammer']
2021-04-15,282.1400146484375,288.9599914550781,282.1300048828125,288.44000244140625,872600,[]
2021-04-16,290.1099853515625,290.3900146484375,285.9200134277344,288.3299865722656,495300,[]
2021-04-19,290.2699890136719,290.2699890136719,286.3699951171875,288.0899963378906,675900,[]
2021-04-20,286.3599853515625,297.57000732421875,286.3599853515625,292.0199890136719,608800,['engulfing_bull']
2021-04-21,294.5799865722656,295.92999267578125,289.2200012207031,291.3500061035156,857000,[]
2021-04-22,290.239990234375,297.0899963378906,285.9700012207031,294.57000732421875,458900,[]
2021-04-23,295.0,301.5599975585937,294.4599914550781,296.489990234375,667400,[]
2021-04-26,295.9200134277344,298.3999938964844,294.7099914550781,296.7799987792969,560400,[]
2021-04-27,297.6700134277344,300.2799987792969,293.6300048828125,294.7799987792969,1037300,[]
2021-04-28,295.5799865722656,300.0899963378906,293.010009765625,297.8800048828125,474400,[]
2021-04-29,297.260009765625,298.70001220703125,293.3099975585937,298.0799865722656,513300,[]
2021-04-30,300.8099975585937,301.6199951171875,297.6700134277344,299.7200012207031,549700,[]
2021-05-03,300.1300048828125,300.6400146484375,297.9100036621094,298.6600036621094,498700,[]
2021-05-04,298.1000061035156,300.1499938964844,294.6499938964844,296.8999938964844,583200,[]
2021-05-05,295.1000061035156,296.8999938964844,291.489990234375,294.2099914550781,581700,[]
2021-05-06,294.0,294.0,289.0400085449219,291.54998779296875,533500,[]
2021-05-07,292.0,294.45001220703125,289.2300109863281,290.9100036621094,790200,[]
2021-05-10,292.8299865722656,293.7099914550781,289.75,292.0599975585937,614000,[]
2021-05-11,290.0199890136719,291.9599914550781,286.5799865722656,291.45001220703125,527700,['hammer']
2021-05-12,291.7099914550781,291.8999938964844,283.79998779296875,284.25,456100,[]
2021-05-13,282.57000732421875,284.9800109863281,281.45001220703125,283.1700134277344,604300,[]
2021-05-14,285.1400146484375,290.739990234375,283.5400085449219,288.6199951171875,461200,[]
2021-05-17,287.8299865722656,288.9800109863281,285.70001220703125,288.5,434000,[]
2021-05-18,288.19000244140625,293.9599914550781,283.5199890136719,291.3299865722656,657400,[]
2021-05-19,290.0199890136719,292.6600036621094,285.29998779296875,288.3900146484375,488400,[]
2021-05-20,288.2300109863281,296.260009765625,288.04998779296875,293.1099853515625,408400,['engulfing_bull']
2021-05-21,290.9100036621094,293.19000244140625,289.8299865722656,290.92999267578125,613300,[]
2021-05-24,292.4200134277344,297.8500061035156,289.19000244140625,296.5400085449219,945200,[]
2021-05-25,295.82000732421875,300.6600036621094,292.42999267578125,298.739990234375,525500,[]
2021-05-26,298.2300109863281,301.6400146484375,295.6700134277344,298.4800109863281,618600,[]
2021-05-27,297.5199890136719,299.5799865722656,295.3599853515625,297.1400146484375,1307800,[]
2021-05-28,299.0199890136719,301.3999938964844,297.5299987792969,298.1199951171875,582000,[]
2021-06-01,297.8599853515625,303.0400085449219,296.6300048828125,302.2699890136719,560200,['engulfing_bull']
2021-06-02,305.8399963378906,309.95001220703125,303.7900085449219,309.6099853515625,755000,[]
2021-06-03,309.79998779296875,313.32000732421875,307.04998779296875,309.42999267578125,606500,[]
2021-06-04,310.7300109863281,313.25,308.07000732421875,312.7300109863281,414300,[]
2021-06-07,316.4700012207031,317.20001220703125,312.489990234375,315.20001220703125,540300,[]
2021-06-08,316.7699890136719,318.5,312.7200012207031,317.4200134277344,727200,[]
2021-06-09,319.20001220703125,320.0,316.4200134277344,316.7099914550781,397700,[]
2021-06-10,316.7300109863281,320.8099975585937,315.2900085449219,318.6499938964844,955800,[]
2021-06-11,319.6700134277344,319.6700134277344,315.75,317.3399963378906,478000,[]
2021-06-14,317.07000732421875,320.04998779296875,317.07000732421875,320.010009765625,769200,['engulfing_bull']
2021-06-15,320.2200012207031,322.3099975585937,319.0599975585937,319.7300109863281,549100,[]
2021-06-16,321.1600036621094,323.04998779296875,314.79998779296875,317.2900085449219,642300,[]
2021-06-17,315.82000732421875,322.1700134277344,314.5599975585937,321.8800048828125,723900,['engulfing_bull']
2021-06-18,320.1000061035156,321.8999938964844,317.2300109863281,318.44000244140625,982300,[]
2021-06-21,320.1099853515625,321.45001220703125,316.2699890136719,321.1199951171875,520100,[]
2021-06-22,320.4100036621094,322.1700134277344,318.4100036621094,321.0299987792969,391400,[]
2021-06-23,321.0199890136719,321.0199890136719,316.79998779296875,317.2200012207031,508700,[]
2021-06-24,319.3500061035156,319.6400146484375,315.3099975585937,315.7300109863281,570200,[]
2021-06-25,315.2699890136719,319.4599914550781,314.9800109863281,319.1000061035156,2049600,['piercing_line']
2021-06-28,320.1400146484375,323.5899963378906,318.32000732421875,322.8399963378906,607700,[]
2021-06-29,321.3500061035156,323.29998779296875,320.010009765625,322.010009765625,396500,[]
