Date,Open,High,Low,Close,Volume,signal
2021-02-11,238.92999267578125,242.88999938964844,238.5800018310547,241.2400054931641,6091600,[]
2021-02-12,240.9499969482422,241.5599975585937,238.9100036621093,240.3699951171875,4314400,[]
2021-02-16,245.0,251.22999572753903,243.8000030517578,248.58999633789065,10837600,[]
2021-02-17,248.58999633789065,249.5,245.5,247.6600036621093,5879200,[]
2021-02-18,245.97000122070312,248.009994506836,242.57000732421875,247.009994506836,4152800,[]
2021-02-19,248.0,249.38999938964844,245.97999572753903,246.5599975585937,4647700,[]
2021-02-22,244.259994506836,244.5200042724609,240.3800048828125,240.9499969482422,5055000,[]
2021-02-23,235.259994506836,238.9600067138672,229.009994506836,235.63999938964844,8641600,[]
2021-02-24,235.52999877929688,241.5,231.509994506836,240.47000122070312,6128300,[]
2021-02-25,238.52999877929688,240.3500061035156,229.7700042724609,231.0800018310547,8828900,[]
2021-02-26,229.38999938964844,230.5,216.33999633789065,216.5,20372900,[]
2021-03-01,219.8999938964844,220.1999969482422,215.02999877929688,217.5399932861328,14027700,[]
2021-03-02,218.3999938964844,218.6000061035156,213.33999633789065,213.47000122070312,10211500,[]
2021-03-03,212.8300018310547,213.32000732421875,205.3999938964844,206.0,11459000,[]
2021-03-04,206.83999633789065,209.08999633789065,201.509994506836,205.3300018310547,12800500,[]
2021-03-05,210.009994506836,212.3500061035156,203.22000122070312,210.759994506836,11406000,[]
2021-03-08,213.6199951171875,214.8999938964844,207.57000732421875,207.72000122070312,9576400,[]
2021-03-09,212.17999267578125,215.7899932861328,211.1699981689453,211.52999877929688,9732200,[]
2021-03-10,214.72000122070312,216.1499938964844,211.7700042724609,211.9600067138672,7186400,[]
2021-03-11,215.0,218.1699981689453,214.3500061035156,215.9499969482422,6431000,[]
2021-03-12,213.4499969482422,213.8500061035156,209.3000030517578,212.2100067138672,6114600,[]
2021-03-15,211.8500061035156,212.94000244140625,209.5,212.8000030517578,5733700,[]
2021-03-16,214.83999633789065,216.69000244140625,213.47999572753903,214.47999572753903,5311000,[]
2021-03-17,213.5200042724609,214.8099975585937,210.8600006103516,213.1199951171875,5805100,[]
2021-03-18,210.6999969482422,211.3800048828125,208.3999938964844,209.47999572753903,5580100,[]
2021-03-19,209.8099975585937,212.75,209.07000732421875,212.1999969482422,7088400,[]
2021-03-22,211.47999572753903,216.97999572753903,211.3699951171875,215.1699981689453,5002500,[]
2021-03-23,214.759994506836,217.42999267578125,214.3300018310547,215.0,4578000,[]
2021-03-24,215.1300048828125,215.27999877929688,209.4100036621093,209.52999877929688,4617700,[]
2021-03-25,206.1699981689453,208.1699981689453,204.3699951171875,205.44000244140625,7977200,[]
2021-03-26,205.63999938964844,209.4100036621093,204.7700042724609,209.08999633789065,7333200,[]
2021-03-29,209.009994506836,211.6499938964844,205.9900054931641,210.7700042724609,5686900,[]
2021-03-30,208.63999938964844,211.2899932861328,207.3600006103516,210.0,4717900,[]
2021-03-31,210.44000244140625,213.6699981689453,210.1100006103516,211.8699951171875,6838000,[]
2021-04-01,213.6000061035156,218.92999267578125,213.3699951171875,218.72000122070312,7763500,[]
2021-04-05,219.6100006103516,221.83999633789065,218.92999267578125,220.2899932861328,5553200,[]
2021-04-06,219.82000732421875,221.5500030517578,218.25,221.08999633789065,5448500,[]
2021-04-07,221.9600067138672,222.67999267578125,219.38999938964844,220.7899932861328,4403400,[]
2021-04-08,223.0,225.7100067138672,222.4499969482422,224.4499969482422,6169100,[]
2021-04-09,224.3300018310547,231.3099975585937,223.6300048828125,231.27999877929688,7319300,[]
2021-04-12,229.5200042724609,229.8500061035156,227.1499938964844,228.759994506836,6205700,[]
2021-04-13,229.0,233.4900054931641,228.5,232.0,5397100,[]
2021-04-14,232.8500061035156,233.13999938964844,227.6600036621093,228.0200042724609,4617600,[]
2021-04-15,229.8699951171875,233.0800018310547,229.5,233.0,5073900,[]
2021-04-16,234.0,234.0,229.88999938964844,231.9100036621093,5088700,[]
2021-04-19,230.8300018310547,232.1999969482422,228.8699951171875,230.5,4257700,[]
2021-04-20,230.0,231.4499969482422,226.88999938964844,227.9600067138672,4081200,[]
2021-04-21,227.1100006103516,230.7899932861328,226.6699981689453,230.5599975585937,4024000,['engulfing_bull']
2021-04-22,230.0,233.88999938964844,229.009994506836,231.3500061035156,4975400,[]
2021-04-23,232.94000244140625,235.4900054931641,231.75,233.509994506836,5447100,[]
2021-04-26,234.0399932861328,235.8000030517578,232.4199981689453,235.4600067138672,3459600,[]
2021-04-27,235.4600067138672,235.8999938964844,231.9100036621093,234.2100067138672,3445200,[]
2021-04-28,235.0,238.3300018310547,233.52999877929688,236.8800048828125,4274500,[]
2021-04-29,237.32000732421875,237.6699981689453,232.1699981689453,234.3600006103516,4140800,[]
2021-04-30,232.8000030517578,234.5,229.5200042724609,230.32000732421875,5024800,[]
2021-05-03,230.7700042724609,231.4600067138672,223.07000732421875,223.759994506836,5835700,[]
2021-05-04,221.6699981689453,222.0,214.3600006103516,217.17999267578125,6727500,[]
2021-05-05,218.82000732421875,219.57000732421875,214.83999633789065,215.3999938964844,4205800,[]
2021-05-06,215.8099975585937,218.27999877929688,213.5,218.0500030517578,5200000,[]
2021-05-07,220.509994506836,221.25,215.08999633789065,216.5,5774700,[]
2021-05-10,215.5,215.9600067138672,213.22999572753903,213.88999938964844,5263700,[]
2021-05-11,209.0,216.57000732421875,208.9100036621093,215.5599975585937,6097900,['engulfing_bull']
2021-05-12,213.33999633789065,213.3699951171875,209.0,210.5399932861328,5482500,[]
2021-05-13,212.97000122070312,215.63999938964844,210.47000122070312,211.8600006103516,5337000,[]
2021-05-14,214.19000244140625,218.2700042724609,214.1499938964844,217.6600036621093,4429000,[]
2021-05-17,216.58999633789065,217.72000122070312,212.82000732421875,215.0599975585937,3816100,[]
2021-05-18,215.44000244140625,217.3500061035156,213.7899932861328,214.3300018310547,3540600,[]
2021-05-19,215.8500061035156,221.6000061035156,214.509994506836,221.33999633789065,8092100,[]
2021-05-20,222.97999572753903,226.8300018310547,222.3600006103516,223.77999877929688,6705500,[]
2021-05-21,225.2100067138672,225.77999877929688,222.44000244140625,222.5800018310547,4913600,[]
2021-05-24,225.0,227.6000061035156,224.2100067138672,226.9900054931641,5288300,[]
2021-05-25,228.0,229.72000122070312,226.27999877929688,227.7100067138672,6256300,[]
2021-05-26,228.47999572753903,230.2400054931641,228.2899932861328,229.67999267578125,5807100,[]
2021-05-27,229.5200042724609,229.5200042724609,225.38999938964844,225.8300018310547,15344100,[]
2021-05-28,239.22000122070312,243.5,237.8300018310547,238.1000061035156,17810800,[]
2021-06-01,238.0,238.3999938964844,232.4600067138672,236.1999969482422,8103900,['hammer']
2021-06-02,234.3999938964844,238.2899932861328,233.8999938964844,234.6199951171875,5543900,['inverted_hammer']
2021-06-03,232.88999938964844,233.17999267578125,229.42999267578125,230.83999633789065,5109000,[]
2021-06-04,231.6300048828125,237.88999938964844,231.5200042724609,237.47999572753903,6177600,[]
2021-06-07,236.6000061035156,239.47000122070312,235.83999633789065,238.13999938964844,3510800,[]
2021-06-08,238.8000030517578,241.7899932861328,235.6699981689453,236.4199981689453,5827300,[]
2021-06-09,238.8699951171875,238.8699951171875,235.509994506836,236.08999633789065,3350900,[]
2021-06-10,236.0,240.2899932861328,235.1499938964844,240.19000244140625,4659500,['engulfing_bull']
2021-06-11,239.02999877929688,240.3699951171875,238.4100036621093,240.3099975585937,4624200,[]
2021-06-14,240.6999969482422,246.63999938964844,240.47999572753903,246.259994506836,6764700,[]
2021-06-15,245.2100067138672,245.3600006103516,242.009994506836,242.5800018310547,5135300,[]
2021-06-16,242.0,245.009994506836,239.47999572753903,242.38999938964844,5099300,[]
2021-06-17,242.0,247.17999267578125,241.1999969482422,244.42999267578125,5170200,[]
2021-06-18,241.8500061035156,246.009994506836,241.0599975585937,242.77999877929688,7822200,[]
2021-06-21,243.4499969482422,244.72000122070312,238.88999938964844,244.47999572753903,5895100,[]
2021-06-22,243.8000030517578,244.72000122070312,240.88999938964844,243.1100006103516,4457200,[]
2021-06-23,243.75,244.5,240.8500061035156,241.83999633789065,4482400,[]
2021-06-24,243.3500061035156,247.69000244140625,242.6999969482422,243.7700042724609,4987300,[]
2021-06-25,244.19000244140625,244.1999969482422,240.9900054931641,241.8699951171875,15409300,[]
2021-06-28,244.2100067138672,247.58999633789065,243.6000061035156,244.57000732421875,4274900,[]
2021-06-29,244.44000244140625,246.77999877929688,242.42999267578125,245.8099975585937,3871900,[]
2021-06-30,245.47999572753903,246.6300048828125,243.5,244.2700042724609,4168800,[]
2021-07-01,244.5,246.58999633789065,242.6199951171875,244.97999572753903,3899600,[]
2021-07-02,246.9199981689453,248.9600067138672,245.83999633789065,248.1999969482422,4056200,[]
2021-07-06,249.0,252.9199981689453,248.3800048828125,250.25,5590200,[]
2021-07-07,253.0,253.5,247.8600006103516,248.44000244140625,5101400,[]
2021-07-08,244.83999633789065,246.5800018310547,241.7400054931641,245.8000030517578,5159600,['hammer']
2021-07-09,245.58999633789065,248.0,244.08999633789065,245.0599975585937,4213500,[]
2021-07-12,247.22000122070312,247.259994506836,241.8500061035156,242.9100036621093,5604500,[]
2021-07-13,242.2899932861328,247.1600036621093,241.67999267578125,244.0200042724609,6699800,[]
2021-07-14,244.5,246.1499938964844,239.8699951171875,242.42999267578125,6375700,[]
2021-07-15,241.22000122070312,242.02999877929688,235.82000732421875,237.5800018310547,7912600,[]
2021-07-16,238.3000030517578,240.8800048828125,237.7700042724609,238.42999267578125,7288100,[]
2021-07-19,236.509994506836,238.5,234.3099975585937,237.5500030517578,8843000,[]
2021-07-20,238.6999969482422,243.17999267578125,236.2700042724609,240.1100006103516,8487000,[]
2021-07-21,241.44000244140625,242.97999572753903,238.2700042724609,242.1100006103516,15323100,[]
2021-07-22,243.5,248.6999969482422,243.33999633789065,248.27999877929688,7868700,[]
2021-07-23,250.0,250.5599975585937,246.67999267578125,248.25,5877300,[]
2021-07-26,248.1999969482422,248.47999572753903,245.82000732421875,247.6000061035156,3960700,['hammer']
2021-07-27,247.2100067138672,248.1300048828125,241.19000244140625,243.509994506836,6352500,[]
2021-07-28,243.82000732421875,246.0800018310547,243.0,243.9600067138672,4100200,[]
2021-07-29,243.4900054931641,246.1600036621093,243.4900054931641,244.0399932861328,3271100,[]
2021-07-30,243.0,244.2400054931641,241.6300048828125,241.92999267578125,3748400,[]
2021-08-02,242.3099975585937,242.47000122070312,238.8800048828125,240.8600006103516,3525700,[]
2021-08-03,241.3800048828125,243.0500030517578,239.0399932861328,241.1300048828125,3077900,[]
2021-08-04,241.6199951171875,244.6499938964844,239.6699981689453,244.1699981689453,4121600,[]
2021-08-05,244.67999267578125,250.8999938964844,243.5399932861328,250.5599975585937,5235200,[]
2021-08-06,249.22999572753903,252.0800018310547,249.22000122070312,250.58999633789065,4045400,[]
2021-08-09,251.4199981689453,252.4199981689453,247.8500061035156,249.32000732421875,3312200,[]
2021-08-10,250.8699951171875,251.25,243.0399932861328,243.38999938964844,4430600,[]
2021-08-11,244.6699981689453,246.1499938964844,240.1000061035156,242.27999877929688,3999200,[]
2021-08-12,242.5,248.42999267578125,241.92999267578125,248.38999938964844,4467400,[]
2021-08-13,251.7100067138672,253.7700042724609,248.8699951171875,251.5599975585937,5986400,[]
2021-08-16,250.1699981689453,251.0,244.47000122070312,249.1999969482422,4047500,['hammer']
2021-08-17,248.259994506836,249.1999969482422,245.94000244140625,246.9900054931641,3472600,[]
2021-08-18,248.0,256.79998779296875,247.72000122070312,251.22000122070312,8306700,[]
2021-08-19,249.1699981689453,255.44000244140625,248.3800048828125,253.07000732421875,6600800,[]
2021-08-20,253.0,257.8699951171875,252.6100006103516,256.1300048828125,5510700,[]
2021-08-23,257.0,261.8599853515625,256.57000732421875,260.5199890136719,7603900,[]
2021-08-24,261.9200134277344,262.5,259.0599975585937,259.6600036621094,6685200,[]
2021-08-25,260.8599853515625,261.8999938964844,258.75,260.8500061035156,9701000,[]
2021-08-26,269.79998779296875,275.2200012207031,267.3599853515625,267.7900085449219,18987000,[]
2021-08-27,267.8599853515625,270.9100036621094,265.42999267578125,266.5299987792969,7992500,[]
2021-08-30,265.8099975585937,267.5799865722656,264.75,264.9700012207031,5730000,['inverted_hammer']
2021-08-31,264.7699890136719,266.7699890136719,262.70001220703125,265.2699890136719,5901500,[]
2021-09-01,266.2699890136719,273.260009765625,265.5899963378906,268.32000732421875,7189000,[]
2021-09-02,269.0,269.260009765625,263.9200134277344,264.1499938964844,4498300,[]
2021-09-03,263.6000061035156,267.4100036621094,261.79998779296875,267.0799865722656,7356700,['piercing_line']
2021-09-07,266.5400085449219,267.8999938964844,264.07000732421875,265.2099914550781,4672500,[]
2021-09-08,263.6199951171875,264.3399963378906,261.5799865722656,262.6199951171875,3851500,[]
2021-09-09,261.82000732421875,263.7099914550781,260.45001220703125,260.739990234375,4126500,['inverted_hammer']
2021-09-10,261.0,261.5899963378906,256.5,257.20001220703125,5280900,[]
2021-09-13,257.0,257.69000244140625,252.19000244140625,254.1100006103516,5258200,[]
2021-09-14,254.1100006103516,255.1100006103516,253.0,254.3699951171875,4097500,[]
2021-09-15,254.5399932861328,256.75,252.9499969482422,256.1600036621094,4764600,[]
2021-09-16,255.52999877929688,261.2200012207031,255.0,260.3599853515625,5122600,[]
2021-09-17,259.2699890136719,261.70001220703125,258.67999267578125,260.5299987792969,7049400,[]
2021-09-20,256.5899963378906,259.2099914550781,254.94000244140625,258.2200012207031,5985500,[]
2021-09-21,259.4700012207031,262.54998779296875,257.7699890136719,257.9700012207031,6040600,[]
2021-09-22,258.8999938964844,260.3599853515625,256.2099914550781,259.1700134277344,4355600,[]
2021-09-23,270.0,279.3900146484375,266.3999938964844,277.8599853515625,15617200,[]
