area,ticker,interval,signal,candles_from_last
sp500,CCL,1d,"['inverted_hammer', 'hammer', 'hammer', 'rebound', 'engulfing']","[666, 348, 308, 288, 57]"
sp500,CDNS,1d,"['engulfing', 'hammer', 'inverted_hammer', 'inverted_hammer', 'hammer']","[908, 892, 600, 520, 400]"
sp500,CDW,1d,,
sp500,CEG,1d,"['hammer', 'hammer', 'piercing_line', 'hammer', 'hammer']","[467, 316, 287, 194, 7]"
sp500,CF,1d,,
sp500,CFG,1d,,
sp500,CHD,1d,,
sp500,CHRW,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[393, 333, 287]"
sp500,CHTR,1d,"['inverted_hammer', 'inverted_hammer', 'engulfing', 'rebound', 'inverted_hammer']","[359, 304, 205, 135, 90]"
sp500,CI,1d,['inverted_hammer'],[361]
sp500,CINF,1d,,
sp500,CL,1d,,
sp500,CLX,1d,['hammer'],[21]
sp500,CMCSA,1d,['inverted_hammer'],[144]
sp500,CME,1d,['hammer'],[2]
sp500,CMG,1d,"['hammer', 'hammer', 'inverted_hammer', 'engulfing', 'hammer']","[317, 184, 145, 141, 138]"
sp500,CMI,1d,['inverted_hammer'],[707]
sp500,CMS,1d,,
sp500,CNC,1d,"['inverted_hammer', 'engulfing', 'inverted_hammer', 'hammer', 'engulfing']","[552, 224, 53, 46, 44]"
sp500,CNP,1d,,
sp500,COF,1d,"['inverted_hammer', 'hammer', 'hammer', 'inverted_hammer']","[1025, 58, 57, 54]"
sp500,COIN,1d,"['inverted_hammer', 'hammer', 'inverted_hammer', 'hammer', 'hammer']","[696, 288, 131, 130, 81]"
sp500,COO,1d,"['hammer', 'hammer', 'inverted_hammer', 'hammer', 'hammer']","[483, 481, 362, 57, 24]"
sp500,COP,1d,['hammer'],[29]
sp500,COR,1d,['engulfing'],[10]
sp500,CPAY,1d,"['inverted_hammer', 'hammer', 'engulfing', 'hammer', 'hammer']","[648, 490, 358, 207, 202]"
sp500,CPB,1d,,
sp500,CPRT,1d,"['hammer', 'inverted_hammer', 'hammer', 'hammer', 'hammer']","[929, 358, 353, 308, 249]"
sp500,CPT,1d,['inverted_hammer'],[392]
sp500,CRH,1d,"['inverted_hammer', 'inverted_hammer']","[345, 236]"
sp500,CRL,1d,"['inverted_hammer', 'hammer', 'piercing_line', 'piercing_line', 'hammer']","[341, 338, 321, 290, 79]"
sp500,CRM,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[292, 251, 200, 83, 35]"
sp500,CRWD,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer', 'hammer']","[848, 316, 310, 309, 128]"
sp500,CSCO,1d,,
sp500,CSGP,1d,"['inverted_hammer', 'hammer', 'hammer, engulfing', 'inverted_hammer', 'inverted_hammer']","[97, 95, 71, 63, 11]"
sp500,CSX,1d,['inverted_hammer'],[190]
sp500,CTAS,1d,,
sp500,CTRA,1d,,
sp500,CTSH,1d,"['inverted_hammer', 'inverted_hammer']","[287, 23]"
sp500,CTVA,1d,"['inverted_hammer', 'inverted_hammer']","[651, 455]"
sp500,CVNA,1d,"['hammer', 'hammer', 'hammer', 'inverted_hammer', 'rebound']","[288, 201, 200, 144, 138]"
sp500,CVS,1d,"['inverted_hammer', 'hammer']","[144, 48]"
sp500,CVX,1d,,
sp500,D,1d,,
sp500,DAL,1d,"['hammer', 'hammer', 'engulfing', 'hammer', 'inverted_hammer']","[288, 59, 57, 55, 54]"
sp500,DASH,1d,"['hammer', 'inverted_hammer', 'inverted_hammer', 'engulfing', 'hammer']","[1124, 1028, 940, 934, 48]"
sp500,DAY,1d,"['hammer', 'hammer', 'hammer', 'hammer', 'hammer']","[953, 858, 261, 234, 125]"
sp500,DD,1d,,
sp500,DDOG,1d,"['hammer', 'rebound', 'inverted_hammer', 'inverted_hammer', 'hammer']","[317, 307, 201, 100, 66]"
sp500,DE,1d,['inverted_hammer'],[287]
sp500,DECK,1d,"['hammer', 'hammer', 'inverted_hammer', 'hammer', 'inverted_hammer']","[462, 311, 148, 61, 11]"
sp500,DELL,1d,"['inverted_hammer', 'inverted_hammer', 'piercing_line', 'hammer', 'inverted_hammer']","[331, 311, 287, 138, 132]"
sp500,DG,1d,"['inverted_hammer', 'inverted_hammer']","[687, 44]"
sp500,DGX,1d,['inverted_hammer'],[223]
sp500,DHI,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[478, 366, 363, 359, 43]"
sp500,DHR,1d,"['inverted_hammer', 'inverted_hammer', 'hammer', 'inverted_hammer', 'hammer']","[903, 650, 649, 529, 25]"
sp500,DIS,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[455, 287, 172, 81]"
sp500,DLR,1d,,
sp500,DLTR,1d,"['inverted_hammer', 'rebound', 'hammer', 'inverted_hammer', 'hammer']","[437, 389, 164, 161, 35]"
sp500,DOC,1d,['hammer'],[40]
sp500,DOV,1d,['hammer'],[7]
sp500,DOW,1d,,
sp500,DPZ,1d,"['inverted_hammer', 'hammer']","[467, 48]"
sp500,DRI,1d,['inverted_hammer'],[287]
sp500,DTE,1d,,
sp500,DUK,1d,,
sp500,DVA,1d,"['hammer', 'hammer', 'hammer', 'engulfing', 'engulfing']","[1022, 922, 807, 806, 92]"
sp500,DVN,1d,['hammer'],[15]
sp500,DXCM,1d,"['hammer', 'engulfing', 'hammer', 'inverted_hammer', 'inverted_hammer']","[235, 169, 165, 54, 30]"
sp500,EA,1d,,
sp500,EBAY,1d,"['inverted_hammer', 'inverted_hammer', 'piercing_line']","[287, 186, 142]"
sp500,ECL,1d,"['hammer', 'hammer', 'inverted_hammer', 'hammer', 'inverted_hammer']","[142, 57, 54, 49, 18]"
sp500,ED,1d,,
sp500,EFX,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'inverted_hammer']","[529, 380, 346, 49]"
sp500,EG,1d,"['inverted_hammer', 'inverted_hammer']","[332, 330]"
sp500,EIX,1d,,
sp500,EL,1d,"['inverted_hammer', 'inverted_hammer', 'inverted_hammer', 'hammer', 'hammer']","[770, 696, 288, 57, 39]"
sp500,ELV,1d,"['inverted_hammer', 'hammer']","[414, 63]"
sp500,EME,1d,"['hammer', 'hammer', 'hammer']","[1068, 128, 59]"
sp500,EMR,1d,"['hammer', 'hammer', 'engulfing']","[204, 51, 46]"
sp500,EOG,1d,,
sp500,EPAM,1d,"['inverted_hammer', 'inverted_hammer', 'piercing_line', 'hammer', 'hammer']","[317, 311, 298, 205, 13]"
sp500,EQR,1d,,
sp500,EQT,1d,"['inverted_hammer', 'hammer', 'hammer']","[573, 113, 15]"
sp500,ERIE,1d,"['hammer', 'rebound', 'hammer']","[57, 55, 20]"
sp500,ES,1d,,
sp500,ESS,1d,,
sp500,ETN,1d,"['inverted_hammer', 'engulfing']","[289, 287]"
sp500,ETR,1d,,
sp500,EVRG,1d,,
sp500,EW,1d,"['hammer', 'inverted_hammer', 'hammer', 'rebound', 'engulfing']","[704, 698, 676, 657, 171]"
sp500,EXC,1d,,
sp500,EXE,1d,['inverted_hammer'],[29]
sp500,EXPD,1d,['inverted_hammer'],[288]
